student_id,study_hours_per_week,attendance_percent,previous_grade,assignments_completed_percent,sleep_hours,extracurricular_hours,parental_support_score,final_result
S1000,13.5,65.3,64.2,67.0,5.8,4.8,5,Pass
S1001,6.8,61.7,82.0,92.6,8.0,6.7,2,Pass
S1002,15.8,83.2,84.0,80.1,6.1,4.8,4,Pass
S1003,16.7,83.7,43.7,62.4,7.9,10.7,1,Fail
S1004,2.2,97.3,60.3,59.4,7.1,8.3,4,Pass
S1005,5.5,94.5,85.4,45.3,6.1,3.1,2,Pass
S1006,12.6,76.0,72.6,80.2,7.1,3.0,3,Pass
S1007,10.4,59.3,67.9,68.6,6.9,5.4,5,Fail
S1008,11.9,73.2,61.7,32.3,7.8,1.5,4,Fail
S1009,7.7,81.3,59.2,65.4,5.8,7.5,3,Fail
S1010,16.4,75.0,69.3,58.8,6.6,5.1,1,Pass
S1011,15.9,69.3,61.2,100.0,6.4,4.8,2,Fail
S1012,12.3,81.8,64.4,44.3,7.4,6.1,5,Fail
S1013,17.6,70.4,66.2,49.1,5.2,9.2,2,Fail
S1014,14.3,68.6,54.8,95.0,7.8,4.5,4,Fail
S1015,7.7,82.7,73.0,99.4,7.1,3.7,3,Pass
S1016,13.8,72.0,100.0,61.6,4.8,8.5,2,Pass
S1017,7.2,81.7,38.3,63.6,8.1,6.9,4,Fail
S1018,16.4,82.1,69.9,86.1,9.4,3.0,2,Pass
S1019,11.8,60.9,53.6,33.1,7.8,4.0,2,Fail
S1020,11.1,70.8,73.7,41.5,8.4,4.6,3,Fail
S1021,8.6,99.6,65.7,69.9,6.6,5.1,4,Pass
S1022,18.1,60.6,76.4,100.0,4.3,0.0,5,Pass
S1023,11.2,46.3,82.6,67.2,4.1,0.0,4,Pass
S1024,9.9,50.1,67.9,76.8,6.8,1.3,4,Pass
S1025,10.2,78.4,82.0,95.4,5.7,1.1,4,Pass
S1026,14.7,78.5,29.8,100.0,5.3,2.1,2,Fail
S1027,13.8,76.2,88.9,64.6,6.4,5.9,2,Pass
S1028,14.1,96.2,70.6,74.7,7.3,3.5,3,Pass
S1029,14.2,37.9,81.2,100.0,4.6,4.6,4,Pass
S1030,22.7,83.9,46.7,47.6,5.9,0.3,4,Pass
S1031,10.0,100.0,52.5,93.5,8.5,2.6,1,Pass
S1032,9.4,61.1,67.2,56.7,5.1,5.8,4,Fail
S1033,7.9,72.3,64.7,76.8,7.6,5.8,2,Pass
S1034,15.1,66.7,69.2,70.6,5.9,1.8,5,Pass
S1035,17.6,64.6,81.3,57.8,7.2,4.5,4,Pass
S1036,11.4,73.1,38.5,57.3,7.9,10.6,5,Fail
S1037,7.8,99.4,79.6,80.0,7.5,3.9,4,Pass
S1038,7.9,100.0,65.1,92.9,7.7,1.9,3,Pass
